Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,17535.0,17616.44921875,17414.599609375,17487.650390625,17487.650390625,1347
2021-06-09,17489.0,17612.0,17436.05078125,17562.25,17562.25,2309
2021-06-10,17562.0,17670.0,17485.55078125,17547.099609375,17547.099609375,2369
2021-06-11,17600.0,17600.05078125,17369.099609375,17543.05078125,17543.05078125,1613
2021-06-14,17495.0,17626.0,17410.650390625,17575.150390625,17575.150390625,2727
2021-06-15,17698.0,17710.0,17518.19921875,17679.5,17679.5,15162
2021-06-16,17700.0,18051.94921875,17599.94921875,17972.44921875,17972.44921875,4830
2021-06-17,17972.44921875,18175.0,17896.400390625,18053.5,18053.5,5327
2021-06-18,18047.900390625,18075.80078125,17600.0,17678.30078125,17678.30078125,3298
2021-06-21,17650.0,17692.900390625,17513.099609375,17642.5,17642.5,3170
2021-06-22,17798.94921875,17798.94921875,17415.0,17451.19921875,17451.19921875,2315
2021-06-23,17500.0,17553.0,17367.150390625,17406.05078125,17406.05078125,16777
2021-06-24,17450.0,17670.349609375,17334.349609375,17596.400390625,17596.400390625,2735
2021-06-25,17600.0,17651.30078125,17440.0,17501.5,17501.5,1036
2021-06-28,17505.0,17610.650390625,17468.55078125,17508.099609375,17508.099609375,654
2021-06-29,17570.0,17719.94921875,17501.900390625,17578.69921875,17578.69921875,3017
2021-06-30,17650.0,17746.150390625,17575.55078125,17676.75,17676.75,1441
2021-07-01,17765.0,17765.0,17574.900390625,17641.599609375,17641.599609375,1194
2021-07-02,17641.599609375,17641.599609375,17497.0,17602.75,17602.75,798
2021-07-05,17684.94921875,17706.0,17531.30078125,17634.55078125,17634.55078125,1282
2021-07-06,17601.0,17606.05078125,17425.0,17489.650390625,17489.650390625,1643
2021-07-07,17521.80078125,17776.0,17361.94921875,17714.80078125,17714.80078125,3568
2021-07-08,17600.0,17683.5,17545.0,17618.80078125,17618.80078125,635
2021-07-09,17620.0,17669.0,17557.75,17640.75,17640.75,1630
2021-07-12,17631.0,17725.0,17574.0,17645.349609375,17645.349609375,16969
2021-07-13,17650.0,17726.599609375,17625.19921875,17673.80078125,17673.80078125,1549
2021-07-14,17720.0,17720.0,17508.94921875,17535.55078125,17535.55078125,884
2021-07-15,17550.0,17650.0,17447.69921875,17618.80078125,17618.80078125,1291
2021-07-16,17698.0,17714.69921875,17549.650390625,17650.099609375,17650.099609375,623
2021-07-19,17575.0,17848.599609375,17575.0,17749.19921875,17749.19921875,17252
2021-07-20,17799.0,17898.44921875,17710.099609375,17829.400390625,17829.400390625,1428
2021-07-22,17895.0,18026.400390625,17723.650390625,17995.19921875,17995.19921875,2935
2021-07-23,17999.0,18218.0,17890.900390625,18122.849609375,18122.849609375,3224
2021-07-26,18000.0,18173.94921875,18000.0,18077.55078125,18077.55078125,1257
2021-07-27,18000.19921875,18446.55078125,17979.25,18238.44921875,18238.44921875,2511
2021-07-28,18338.0,18338.0,17900.0,18012.599609375,18012.599609375,4804
2021-07-29,17967.0,18155.900390625,17796.25,17909.900390625,17909.900390625,2547
2021-07-30,17914.0,17932.69921875,17664.900390625,17725.0,17725.0,1799
2021-08-02,17703.05078125,17900.0,17675.05078125,17709.05078125,17709.05078125,1649
2021-08-03,17735.0,18409.0,17666.44921875,18287.80078125,18287.80078125,2854
2021-08-04,18320.0,18336.099609375,18010.0,18050.80078125,18050.80078125,1965
2021-08-05,18180.0,18280.099609375,18000.0,18214.25,18214.25,1366
2021-08-06,18280.0,18280.0,17988.0,18095.05078125,18095.05078125,2551
2021-08-09,18150.0,18228.0,18021.900390625,18196.849609375,18196.849609375,1477
2021-08-10,18311.0,18360.0,18088.69921875,18277.900390625,18277.900390625,1016
2021-08-11,18250.0,18277.0,18025.0,18164.150390625,18164.150390625,1190
2021-08-12,18138.5,18235.19921875,18072.80078125,18136.55078125,18136.55078125,923
2021-08-13,18136.55078125,18280.650390625,18136.55078125,18268.30078125,18268.30078125,1408
2021-08-16,18250.0,18488.0,18216.349609375,18297.0,18297.0,1161
2021-08-17,18300.0,18790.0,18300.0,18729.94921875,18729.94921875,3796
2021-08-18,18730.0,18958.150390625,18730.0,18910.0,18910.0,1298
2021-08-20,18690.0,19632.25,18598.75,19552.80078125,19552.80078125,4132
2021-08-23,19700.0,20083.75,19556.0,20016.5,20016.5,4153
2021-08-24,20080.0,20144.099609375,19666.5,19785.19921875,19785.19921875,3061
2021-08-25,19810.0,20333.80078125,19810.0,19907.400390625,19907.400390625,4279
2021-08-26,19999.0,20112.849609375,19816.150390625,20046.80078125,20046.80078125,1740
2021-08-27,20149.94921875,20149.94921875,19915.349609375,19953.94921875,19953.94921875,832
2021-08-30,20000.0,20092.400390625,19701.0,19763.599609375,19763.599609375,1880
2021-08-31,19800.0,19831.0,19352.19921875,19458.099609375,19458.099609375,4899
2021-09-01,19797.94921875,19883.44921875,19581.0,19832.599609375,19832.599609375,2275
2021-09-02,19801.05078125,20284.75,19774.400390625,20242.30078125,20242.30078125,3305
2021-09-03,20255.0,20333.30078125,20102.55078125,20260.150390625,20260.150390625,1811
2021-09-06,20265.0,20346.849609375,20169.55078125,20209.44921875,20209.44921875,1250
2021-09-07,20250.0,20397.30078125,20217.69921875,20373.25,20373.25,1531
2021-09-08,20370.0,20517.900390625,19783.599609375,19876.650390625,19876.650390625,4485
2021-09-09,19940.0,20527.099609375,19850.0,20439.44921875,20439.44921875,8650
2021-09-13,20400.0,20500.25,20243.80078125,20434.599609375,20434.599609375,1203
2021-09-14,20452.0,20599.94921875,20178.849609375,20232.19921875,20232.19921875,1347
2021-09-15,20400.0,20400.0,20090.0,20118.19921875,20118.19921875,1239
2021-09-16,20259.349609375,20259.349609375,19975.849609375,20043.849609375,20043.849609375,1697
2021-09-17,20240.0,20287.349609375,20097.80078125,20179.44921875,20179.44921875,2696
2021-09-20,20199.0,20389.900390625,20110.05078125,20312.05078125,20312.05078125,2192
2021-09-21,20350.0,20350.0,20025.0,20152.0,20152.0,888
2021-09-22,20153.0,20153.0,19850.349609375,19929.80078125,19929.80078125,5499
2021-09-23,20128.900390625,20128.900390625,19815.0,19841.69921875,19841.69921875,33471
2021-09-24,19855.0,19979.849609375,19790.80078125,19892.0,19892.0,2694
2021-09-27,19850.0,19899.5,19620.0,19656.69921875,19656.69921875,3141
2021-09-28,19697.0,19714.19921875,19480.0,19555.0,19555.0,2073
2021-09-29,19480.0,19704.349609375,19424.150390625,19472.400390625,19472.400390625,4908
2021-09-30,19618.900390625,19618.900390625,19320.349609375,19450.75,19450.75,836
2021-10-01,19475.0,19640.44921875,19244.849609375,19553.5,19553.5,1601
